LastName	Pinyin
阿	a
哀	ai
蔼	ai
艾	ai
爱	ai
安	an
昂	ang
敖	ao
奥	ao
夭	ao
把	bǎ
巴	bā
仈	bā
巴邻	bā lín
把利	bǎ lì
巴林	bā lín
白	bái
拜	bài
百	bǎi
柏	bǎi
百里	bǎi lǐ
办	bàn
板	bǎn
班	bān
般	bān
邦	bāng
鲍	bào
暴	bào
宝	bǎo
保	bǎo
包	bāo
褒	bāo
贝	bèi
邶	bèi
孛	bèi
北	běi
卑	bēi
北宫	běi gōng
北海	běi hǎi
北唐	běi táng
本	běn
奔	bēn
鼻	bí
毕	bì
邲	bì
辟	bì
弊	bì
贲	bì
闭	bì
碧	bì
匕	bǐ
比	bǐ
毴	bī
逼	bī
碧鲁	bì lǔ
卞	biàn
边	biān
表	biǎo
别	bié
丙	bǐng
邴	bǐng
帛	bó
薄	bó
伯	bó
波	bō
不	bù
布	bù
步	bù
卜	bǔ
才	cái
财	cái
蔡	cài
彩	cǎi
藏	cáng
仓	cāng
苍	cāng
苍梧	cāng wú
曹	cáo
漕	cáo
操	cāo
厕	ce
策	cè
岑	cén
茶	chá
察	chá
柴	chái
虿	chài
禅	chán
产	chǎn
单于	chán yú
长	cháng
苌	cháng
常	cháng
畅	chàng
唱	chàng
敞	chǎng
昌	chāng
长兴	cháng xīng
长鱼	cháng yú
晁	cháo
巢	cháo
朝	cháo
潮	cháo
钞	chāo
超	chāo
抄	chāo
车	chē
沉	chén
陈	chén
晨	chén
谌	chén
尘	chén
郴	chēn
陈观	chén guān
陈没	chén méi
晟	chéng
成	chéng
承	chéng
城	chéng
程	chéng
澄	chéng
呈	chéng
称	chēng
成王	chéng wáng
匙	chi
持	chí
池	chí
迟	chí
茌	chí
赤	chì
齿	chǐ
赤翟	chì dí
叱干	chì gān
叱吕	chì lǚ
叱奴	chì nú
赤松	chì sōng
赤张	chì zhāng
虫	chóng
崇	chóng
宠	chǒng
充	chōng
丑	chǒu
瘳	chōu
仇由	chóu yóu
雏	chú
除	chú
触	chù
储	chǔ
楚	chǔ
处	chǔ
初	chū
传	chuán
串	chuàn
钏	chuàn
穿封	chuān fēng
闯	chuǎng
淳	chún
春	chūn
淳于	chún yú
啜	chuò
慈	cí
次	cì
兹	cī
丛	cóng
从	cóng
枞	cōng
醋	cù
爨	cuàn
翠	cuì
崔	cuī
催	cuī
寸	cùn
村	cūn
错	cuò
蹉	cuō
达	dá
答	dá
笪	dá
大	dà
达薄	dá báo
大狐	dà hú
达奚	dá xī
代	dài
逮	dài
戴	dài
歹	dǎi
但	dàn
淡	dàn
澹	dàn
丹	dān
郸郯	dan tan
